year,region,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Albany,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,Atlanta,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
2015,BaltimoreWashington,
